,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
116,CME.O,3528.9,3535.3,3842.1,4401.0,2233.1,2231.2,2229.3,2107.9,2857.1,2856.5,2106.8
117,CMS,12098.0,12391.0,13218.0,11777.0,10487,10034,9473,8739,7971,7514,7264
118,KO,42761.0,42793.0,42763.0,44214.0,47685,45709,44116,41745,37079,32610,28568
119,CTSH.O,677.0,723.0,764.0,745.0,873.0,878.0,1283.0,1637.5,0.0,0.0,0.0
120,CL,7245.0,7601.0,7847.0,6366.0,6577,6533,6548,6148,5657,5230,4810
121,CMCSA.O,100020.0,108928.0,107383.0,111743.0,64556,61046,52621,48081,47847,40458,39309
122,CMA,2796.0,2928.0,3540.0,2707.0,1832,2385,3081,2791,3796,4830,5014
123,CAG,8979.8,9005.7,9747.4,10677.3,3815.8,2996.4,5454.7,7904.5,8946.4,9589.8,2936.7
124,COP,19934.0,15369.0,14895.0,14968.0,19703,27275,24880,22565,21662,21725,22623
125,ED,24534.0,24222.0,21666.0,20711.0,16606,15828,14274,12906,12426,11309,10675
126,STZ,10416.5,10442.3,12184.6,13616.5,10186.7,9238.1,8081.2,7296.5,7020.5,3305.4,3129.5
127,CEG.O,8196.0,7212.0,8294.0,,,,,,,,
128,COO,1479.0,1793.2,1826.3,2022.8,1172.7,1333.7,1349.211,1382.351,344.657,373.706,380.432
129,CPRT.O,2.032,398.202,397.787,401.229,399.898,633.038,640.492,645.806,302.901,388.748,444.12
130,GLW,7044.0,7972.0,7740.0,5998,5128,3902,4462,3263,3293,3458,2391
131,CTVA.K,1117.0,1105.0,122.0,7938,,,,,,,
132,CSGP.O,987.944,986.715,0.0,0.0,0.0,338.339,355.112,371.801,153.125,170.625,0.0
133,COST.O,8185.0,8543.0,8297.0,7244,6974,6659,5535,6431,5100,5194,1381
134,CTRA.K,3146.0,1133.924,1220.025,1226.104,1521.891,1520.53,2016.139,1752.0,1147.0,1087.0,950.0
135,CCI,20629.0,19280.0,18121.0,16682.0,16159.62,12171.142,12149.959,11920.861,11594.5,11611.242,6885.699
136,CSX.O,16366.0,16705.0,16238.0,14757,11809,11293,10535,9742,9555,9832,9241
137,CMI,4159.0,4164.0,2367.0,2476,2006,1856,1639,1686,1740,775,783
138,CVS,56176.0,64647.0,68480.0,73429,27002,27531,27464,12890,13402,9828,10014
139,DHI,6066.9,5412.4,4283.3,3399.4,3203.5,2871.6,3271.3,3811.5,3665.7,3509.0,2493.1
140,DHR,22176.0,21204.0,21729.1,9740.3,10522.1,12269.0,12870.4,3473.4,3499.0,5343.1,5305.192
141,DRI,1936.2,1492.4,1572.9,927.7,926.5,936.6,440.0,1467.3,2686.0,2713.2,2120.7
142,DVA,8908.18,8085.804,8108.234,10102.216,9336.231,9104.938,9130.345,8418.778,8415.928,8554.325,4504.969
143,DE,48412.0,45998.0,45334.0,42256.1,40045.3,35611.5,36849.4,36958.4,34475.7,32420.4,26589.6
144,DAL,26920.0,29157.0,11160.0,9771,8834,7332,8329,9661,11342,12709,13791
145,XRAY.O,2095.0,2277.0,1435.4,1657.3,1641.7,1532.2,1153.1,1261.907,1476.04,1520.998,1766.711
146,DVN,6737.0,4550.0,4541.0,4454,6864,10154,13032,11262,12022,11644,9780
147,DXCM.O,2038.8,1730.0,1074.7,1017.6,334.3,6.0,2.3,4.6,6.8,7.0,0.0
148,FANG.O,6687.0,5815.0,5371.0,4464.338,1477.347,1105.912,487.807,673.5,460.0,0.338,85.0
149,DLR,13448.21,13538.067,10300.534,11101.479,8648.618,5838.607,5899.037,4673.127,4961.892,4278.565,2940.21
150,DFS,20227.0,21241.0,25701.0,27228.0,26326.0,25443.0,24650.0,22657.0,20614.0,17993.0,18337.178
151,DISH.O,21417.016,15702.028,14139.595,15152.777,16202.965,16483.639,13755.925,14427.526,13631.686,11887.684,7493.779
152,DIS,48369.0,54693.0,58936.0,46986,20874,25291,20170,17336,14840,14562,14595
153,DG,4172.068,4130.975,2911.993,2864.69,3005.958,3211.526,2970.554,2725.123,2818.754,2772.228,2618.481
154,DLTR.O,3417.0,3226.2,3772.2,4265.3,5678.0,6321.8,7495.7,682.7,769.8,271.3,265.5
155,D,40581.0,37014.0,32309.0,35175,37324,35095,28802,25955,22776,21486,20687
156,DPZ,5070.226,4118.873,4114.449,3531.584,3153.814,2187.877,2240.793,1501.164,1536.443,1560.792,1451.273
157,DOV,3133.658,3120.179,3080.288,3163.978,3567.804,3621.187,2754.777,3030.997,2828.479,2800.116,2187.252
158,DOW,14672.0,17107.0,16996.0,19889,,,,,,,
159,DTE,18171.0,19515.0,17454.0,14242,12915,11782,9732,9015,8243,8071,8132
160,DUK,67139.0,62736.0,61261.0,57939,54442,50382,42501,42382,41095,40518,21000
161,DD,10782.0,15612.0,17447.0,12639,34071,21363,26322,,,,
162,DXC,4965.0,5512.0,9948.0,7412,8010,2963,2644,2518,2888,2732,2740
163,EMN,5159.0,5618.0,5781.0,6168,6540,6594,7008,7549,4254,4783,1598
164,ETN,8579.0,8058.0,8322.0,7521,7751,8277,8414,9034,9549,10836,3773
165,EBAY.O,9075.0,7763.0,7760.0,9231.0,10015.0,8960.0,6749.0,7627.0,4123.0,4519.0,2089.648
166,ECL,8758.2,6686.6,6354.1,7045.2,7322.7,6687.0,6465.5,6548.2,6904.5,6541.9,7636.2
167,EIX,27601.0,23059.0,18893.0,15431,14516,12463,11873,12029,10635,9406,9263
168,EW,595.7,595.0,594.4,593.8,1036.4,822.3,596.9,598.1,593.1,189.3,150.4
169,EA.O,1878.0,1876.0,996.0,994,992,990,1152,633,580,559,539
170,ELV,23031.0,20035.0,20085.0,19211.0,19931.8,15726.9,15864.5,15043.9,14491.6,14977.9,9840.2
171,LLY,16884.7,16595.3,15317.2,10298.6,13647.1,10305.2,7978.5,8021.5,5212.9,5531.3,6987.0
172,EMR,10374.0,6665.0,7486.0,5721,4760,4656,6635,6842,6024,5642,5293
173,ENPH.O,1037.646,330.865,105.543,109.783,49.751,33.9,17.0,0.0,8.677,11.061,33.879
174,ETR,27154.386,24061.989,19885.191,18132.646,16677.091,15274.571,13849.988,13916.71,13677.672,13473.257,12386.829
175,EOG,5109.0,5816.405,5175.443,6083.262,6387.071,6986.358,6655.49,5909.933,5913.221,6312.181,5009.166
176,EPAM.K,46.252,25.038,25.074,25.031,25.033,25.048,35.0,0.0,0.0,0.0,0.0
177,EQT,5485.002,4925.466,5292.979,5497.381,5997.329,3289.459,3092.343,2959.353,2501.516,2526.173,2746.942
178,EFX,5294.9,4378.4,3382.6,2635.5,2704.3,2672.2,1187.7,1526.1,1442.0,1730.7,1013.2
179,EQIX.O,13741.317,12460.505,11826.055,11332.497,10080.419,6759.573,6521.02,4643.954,4158.656,3010.747,3099.13
180,EQR,8584.309,8067.606,9060.195,8817.939,8957.291,8987.258,10921.366,10844.861,10766.254,8529.244,9721.061
181,ESS,6287.41,6251.535,5808.873,5605.942,5689.126,5563.26,5318.757,5080.689,3033.524,2818.683,2360.858
182,EL,5412.0,5569.0,6136.0,3412.0,3544.0,3572.0,2241.5,1624.9,1343.1,1344.3,1288.1
183,ETSY.O,2388.119,1115.815,847.012,282.465,9.913,12.125,13.181,4.903,0.818,2.075,
184,RE,3088.574,1910.392,633.832,633.613,633.395,633.176,632.958,638.364,488.319,818.161,818.109
185,EVRG.K,11211.8,10366.4,10002.6,8571.8,4073.222,4018.421,3580.656,3639.178,3575.839,3407.156,3054.806
186,ES,20278.336,18031.109,15581.155,14631.725,13413.607,10751.737,10195.41,9770.837,9403.179,9165.829,5375.755
187,EXC.O,42417.0,39333.0,37799.0,36528,35582,35913,26319,22115,20121,19603,13492
188,EXPE.O,8450.0,8216.0,4938.0,3717.0,4249.054,3160.336,3183.14,1746.787,1249.412,1249.345,1249.281
189,EXPD.O,0.0,0.0,0.0,0,0,0,0,0,0,0,0
190,EXR,6025.661,5746.303,5046.486,4811.515,4554.217,4306.223,3535.621,2350.477,1960.262,1581.425,1369.484
191,XOM,47839.0,67779.0,47074.0,37796,42336,42762,38687,29121,22699,11581,17033
192,FFIV.O,349.772,369.047,388.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,FDS,1982.424,574.535,574.354,574.174,574.775,575.0,300.0,35.0,0.0,0.0,0.0
194,FAST.O,390.0,405.0,345.0,500,415,390,365,90,0,0,0
195,FRT,4119.579,4363.424,3428.656,3229.204,3284.766,2798.452,2627.216,2409.677,2321.862,2208.602,2110.41
196,FDX,20264.0,20879.0,22003.0,17581,16585,14931,13762,7268,4737,2990,1667
197,FITB.O,12602.0,15924.0,15608.0,16631,15594,15148,16886,16626,11297,14266,13267
198,FRC,1777.0,1774.458,1275.604,1673.907,1671.807,911.308,526.802,432.423,43.132,131.45,128.97
199,FE,23854.0,24477.0,20998.0,19504,19545,22552,21973,21779,20650,19147,17337
200,FIS,20353.0,20015.0,20192.0,8985.0,8763.0,10478.0,11444.0,5067.7,4468.6,4385.5,4809.8
201,FISV.O,21237.0,20684.0,21899.0,5959,4900,4562,4293,3790,3848,3230,3395
202,FLT,5977.667,4332.623,5036.785,4819.047,4518.616,3858.233,2935.0,3593.717,1137.378,945.391,704.265
203,FMC,3172.5,3267.8,3258.8,2692.7,3185.6,1893.0,2148.9,1664.1,1851.9,964.4,825.6
204,F,138092.0,161684.0,155307.0,154213,154287,142970,132854,119171,114688,105058,99488
205,FTNT.O,988.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,FTV,3959.0,4230.1,6328.4,3430.3,4056.2,3358.0,0.0,0.0,0.0,,
207,FBHS.K,2709.8,2572.2,2184.3,2334.0,1507.6,1431.1,1169.5,670.0,356.0,325.5,410.6
208,FOXA.O,7206.0,7951.0,7946.0,6751,0,0,,,,,
209,FOX.L,4.84897,4.74188,4.66901,3.5105,3.06757,1.29,1.84979,1.47968,1.29727,1.1305,1.3965
210,BEN,,7070.4,5817.7,747.7,728.5,1097.6,2083.4,2155.3,2149.0,2303.6,2777.2
211,FCX,9450.0,9711.0,9826.0,11141,13229,16027,20324,18849,20706,3527,3537
212,GRMN.K,0.0,0.0,0.0,0,0,0,0,0,0,0,0
213,IT,2462.764,1978.801,2183.606,2281.687,3278.845,694.391,818.831,405.0,205.0,205.0,200.0
214,GNRC.K,980.056,885.193,898.864,923.956,928.722,1052.921,1046.383,1088.017,1197.395,893.818,597.874
215,GD,11832.0,13321.0,12284.0,12481,3982,3888,3399,3893,3909,3908,3907
216,GE,35185.0,74902.0,90882.0,103600,134591,136211,197602,261424,383040,413799,453443
217,GIS,11620.4,12612.0,13539.5,14490.0,15818.6,9481.7,8430.9,9191.5,8785.8,7969.1,7429.6
218,GM,109379.0,109894.0,103324.0,104951,94219,75123,63111,46665,36183,16050,13833
219,GPC,2409.363,2677.145,3426.099,3143.28,3300.702,914.221,662.642,805.506,792.473,533.748,534.186
220,GILD.O,26695.0,31402.0,24593.0,27322.0,33542.0,26346.0,22057.0,12419.0,6700.0,8231.192,7607.306
221,GL,2026.138,1922.804,1647.726,1665.033,1460.268,1397.64,1233.862,1230.528,1219.935,1308.729,1015.413
222,GPN,11977.516,9652.462,9588.738,5830.729,5294.882,4830.684,2332.696,1833.807,1150.93,528.376,624.764
223,GS,896206.0,700260.0,597400.0,534872,527512,453312,430164,411315,484805,499315,477740
224,HAL,9245.0,9969.0,10459.0,10312,10942,12377,15346,7779,7816,4820,4820
225,HIG,4944.0,4352.0,4848.0,4678,4998,4910,5359,6109,6628,7287,6530
226,HAS.O,4025.1,5099.212,4046.96,1704.832,1848.566,1720.974,1711.678,1798.334,1396.617,1620.786,1581.302
227,HCA,34579.0,31004.0,33722.0,32821,33058,31376,30488,29426,28376,28930,27052
228,PEAK.K,6169.989,6297.979,6351.613,5567.908,7880.466,9189.495,11069.003,9721.269,8661.627,8682.486,7673.087
229,HSIC.O,872.516,698.975,756.732,1940.082,1666.068,1218.856,809.714,731.49,485.182,533.279,441.357
230,HSY,5028.894,4602.625,4266.485,4457.596,2920.48,2980.169,2420.527,2177.818,1962.017,1906.865,1888.173
231,HES,8677.0,8534.0,7397.0,6672,6977,6806,6592,5987,5798,8111,6057
232,HPE,13448.0,15941.0,13820.0,12141,14032,15693,15794,1379,1675,702,1966
233,HLT,8766.0,10487.0,7993.0,7282,6602,6616,10453,11692,12723,15995,16792
234,HOLX.O,2823.4,3051.7,3058.1,3076.0,3326.9,3347.2,3345.4,3612.2,4267.7,4805.9,5035.614
235,HD,40086.0,37238.0,31483.0,29202,27028,23601,21216,17197,14724,10796,10788
236,HON.O,19599.0,22384.0,16002.0,16214,17882,15775,12068,8683,8829,7496,7555
237,HRL,3323.903,1303.627,250.0,624.84,250.0,250.0,435.0,250.0,250.0,250.0,250.0
238,HST.O,4891.0,5541.0,3794.0,3837,3954,3649,3867,3957,4759,5411,5753
239,HWM,4232.0,5075.0,5940.0,6330,6844,8084,8827,8852,8319,8829,9371
240,HPQ,7492.0,6217.0,5137.0,5987,7819,6813,8871,19525,22587,28436,30634
241,HUM,12820.0,6980.0,5891.0,6240,5061,4304,4394,4159,3003,2935,1965
242,HBAN.O,7227.0,8532.0,10950.0,10636.0,10530.0,9569.273,7648.843,4650.011,3002.122,1945.689,4175.977
243,HII,3298.0,1686.0,1286.0,1283,1279,1278,1273,1670,1779,1830,1859
244,IBM,51704.0,61333.0,62899.0,45812,46824,42168,39889,40722,39718,33269,31322
245,IEX,1190.3,1044.442,849.252,848.818,859.046,1015.281,840.794,859.345,773.876,786.576,808.81
246,IDXX.O,923.701,908.48,888.253,898.508,1154.508,1110.446,1073.0,899.0,428.394,214.501,246.418
247,ITW,7687.0,8122.0,7758.0,7380.0,8328.0,7829.0,7422.0,7419.0,6344.0,5048.0,3990.261
248,ILMN.O,1695.0,1184.0,1141.0,1997.0,1192.0,1049.055,1090.578,1291.036,1001.526,842.373,807.369
249,INCY.O,34.267,34.857,50.882,36.13,24.001,651.481,619.893,675.167,681.467,331.076,316.153
250,IR,3440.6,3899.5,1611.4,1672.1,2040.2,2778.259,2794.847,,,,
251,INTC.O,38101.0,36401.0,29001.0,26359,26813,25283,22670,13655,13446,13448,7331
