,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
302,MAS,False,,66.4368533636134,66.4368533636134,70.3908591408591,67.5575443117317,59.5408967011419,75.0
303,MA,False,,58.1711187855857,59.8204984407367,38.5634489776023,57.5481887156347,68.1543244318483,56.5217391304347
304,MTCH.O,,,,,,,,
305,MKC,False,,57.4063407264834,57.4063407264834,64.0052324528131,52.2844549638559,58.9970402285047,100.0
306,MCD,True,70.0,42.6979567603881,76.7002613468633,67.6275513828256,87.5241147741147,68.6299201736202,8.69565217391304
307,MCK,True,91.0,53.5198007960192,59.8173793698163,42.1776729559748,51.7739038331203,88.5960484648725,47.2222222222222
308,MDT,True,100.0,38.1274261412155,73.7548522824311,76.0866555924695,89.3342648283135,52.1537842190016,2.5
309,MRK,True,100.0,49.2645095539197,78.2587488375691,73.9162873797261,81.9124526920484,75.9829631463491,20.2702702702702
310,META.O,True,100.0,31.6440310646358,32.8532795205759,27.5084692062099,55.8909009379671,14.6187708387989,30.4347826086956
311,MET,False,,55.2379481490485,55.2379481490485,84.7731525007214,66.9225778466656,37.7824377037691,56.25
312,MTD,True,100.0,55.3180673669758,55.3180673669758,47.7647569444444,51.8348623853211,69.7027542010156,100.0
313,MGM,True,61.7,50.7476722048435,53.6692574531654,73.8458525378356,39.9294871794871,56.1199772874796,47.8260869565217
314,MCHP.O,True,,65.8449753250779,65.8449753250779,60.9811888086716,64.1507580143366,74.4769777074888,100.0
315,MU.O,False,,41.8878080209599,41.8878080209599,22.8182399008597,32.5238822331845,80.2217673149096,100.0
316,MSFT.O,True,100.0,49.4021430328294,92.282546935224,79.9736022763276,93.3278706132383,95.0750904990472,6.52173913043478
317,MAA,,,,,,,,
318,MRNA.O,,,,,,,,
319,MHK,True,100.0,55.379659638062,55.379659638062,38.1189903846153,66.9875796502325,60.9175168465562,100.0
320,MOH,,,,,,,,
321,TAP,True,100.0,62.9371994958361,62.9371994958361,66.5520751247701,63.0315680718629,58.4258154151994,86.3636363636363
322,MDLZ.O,True,100.0,49.6670479248278,78.1219746375344,78.1603359224327,78.2689249673456,77.8258797098611,21.2121212121212
323,MPWR.O,,,,,,,,
324,MNST.O,False,,14.0835546046344,14.0835546046344,10.9338061465721,17.2501371493034,12.0402592971682,100.0
325,MCO,True,100.0,47.0531285134016,47.0531285134016,17.6978159684926,40.7413697665056,75.6668723603161,86.1111111111111
326,MS,True,71.82,36.6637272563449,66.509272694508,94.0679012345679,77.6611987309899,49.740444175113,6.81818181818181
327,MOS,True,100.0,46.6582792982526,73.3165585965052,56.4219692686566,84.9246632831654,83.4943779121971,20.0
328,MSI,True,100.0,72.6457654912418,72.6457654912418,63.0622837370242,79.3986210418794,71.3985813296678,100.0
329,MSCI.K,False,,15.6176609440606,15.6176609440606,0.0,10.546623389694,33.0296827021494,58.3333333333333
330,NDAQ.O,False,,41.7120437556706,41.7120437556706,33.7592592592592,43.0199514534367,48.2600903820359,100.0
331,NTAP.O,False,,33.4487317068022,33.4487317068022,33.0769230769231,27.1288033167029,45.0291111940455,100.0
332,NFLX.O,False,,6.56648198138309,6.56648198138309,0.0,10.5009487666034,5.14841351074718,89.1304347826086
333,NWL.O,True,100.0,38.158788280997,38.158788280997,25.8713942307692,42.160752434592,48.5168009833881,100.0
334,NEM,True,100.0,74.2208347607862,81.1689422488451,77.0240023843037,78.8618010387708,90.8911708156431,67.2727272727272
335,NWSA.O,False,,24.1117621443027,24.1117621443027,0.307692307692307,23.8478554749907,32.3939292044336,100.0
336,NWS.O,False,,24.1117621443027,24.1117621443027,0.307692307692307,23.8478554749907,32.3939292044336,100.0
337,NEE,True,69.008,67.1302407633859,67.1302407633859,75.0542567454332,70.1806845249468,49.6938367038762,100.0
338,NKE,True,100.0,67.3105315482713,67.954396429876,73.3461257309941,80.2628196378196,41.769051604472,66.6666666666666
339,NI,True,100.0,40.7680726293795,56.536145258759,41.1499574286931,52.5402036315729,89.9587996851778,25.0
340,NDSN.O,False,,45.1109376405321,45.1109376405321,22.4658358568211,58.3556100772724,54.9198225861481,100.0
341,NSC,True,100.0,54.4173884884715,62.4062055483716,64.1086468792526,52.8689167974882,72.7617513274631,46.4285714285714
342,NTRS.O,True,100.0,69.6238054330089,69.6238054330089,76.5617283950617,82.9376773290599,65.2300381703365,100.0
343,NOC,True,100.0,66.3975063104251,66.3975063104251,46.2039256664003,72.9806154461292,72.2823619543113,77.7777777777777
344,NLOK.O,True,100.0,62.9175533624127,69.3133675943906,78.0847865028881,74.2103920023054,62.4650597928036,56.5217391304347
345,NCLH.K,,,,,,,,
346,NRG,True,100.0,69.7152535693594,69.7152535693594,87.4369448634154,50.5367886515427,64.5203827626258,100.0
