,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
139,DHI,19396.3,14886.5,11840.0,10020.9,8984.4,7747.1,6792.5,5894.3,5115.8,4058.5,3592.1
140,DHR,45167.0,39766.0,30270.6,28214.4,26358.2,23002.8,23690.3,23378.1,22385.3,19016.5,16904.783
141,DRI,2198.2,2813.1,2331.2,2392.6,2194.8,2101.7,1952.0,2333.5,2156.9,2059.5,1842.0
142,DVA,755.508,1383.566,2133.409,3703.442,4690.029,4648.047,4870.78,5170.513,4432.479,3763.137,2141.075
143,DE,18431.0,12937.0,11413.0,11287.8,9557.3,6520.0,6743.4,9062.6,10265.8,6842.1,6800.3
144,DAL,3887.0,1534.0,15358.0,13687,12530,12287,10850,8813,11643,-2131,-1396
145,XRAY.O,5042.0,4967.0,5092.5,5121.1,6616.3,8114.3,2338.0,2321.279,2535.053,2208.698,1848.077
146,DVN,9262.0,2885.0,5802.0,9186,9254,8274,7049,21539,20499,21278,21430
147,DXCM.O,2042.1,1826.5,882.6,663.3,419.4,283.8,221.2,140.2,84.1,77.0,104.49
148,FANG.O,12088.0,8794.0,13249.0,13699.287,5254.86,3697.462,1875.972,1751.011,845.541,462.068,129.037
149,DLR,18004.568,17717.697,9879.312,9858.644,10349.081,5096.015,4500.132,3878.256,3610.516,3468.305,2522.917
150,DFS,13408.0,10884.0,11859.0,11130.0,10892.0,11323.0,11275.0,11134.0,10809.0,9873.0,8242.211
151,DISH.O,15526.671,13780.155,11564.521,8595.688,6937.414,4613.549,2748.787,2013.009,977.08,36.867,-420.37
152,DIS,95008.0,88553.0,83583.0,88877,48773,41315,43265,44525,44958,45429,39759
153,DG,6261.986,6661.238,6702.5,6417.393,6125.774,5406.294,5377.876,5710.038,5402.193,4985.33,4674.582
154,DLTR.O,7718.5,7285.3,6254.8,5642.9,7182.3,5389.5,4406.9,1785.0,1170.7,1667.3,1344.6
155,D,28918.0,26117.0,31994.0,20107,17142,14605,12664,11555,11899,10825,11703
156,DPZ,-4209.536,-3300.405,-3415.759,-3039.921,-2735.384,-1883.143,-1800.251,-1219.465,-1290.202,-1335.523,-1209.739
157,DOV,4189.528,3385.773,3032.66,2768.666,4383.18,3799.746,3644.575,3700.725,5377.396,4919.23,4930.555
158,DOW,18165.0,12435.0,13541.0,32483,,,,,,,
159,DTE,8705.0,12425.0,11672.0,10237,9512,9011,8772,8327,7921,7373,7009
160,DUK,49296.0,47964.0,46822.0,43817,41739,41033,39727,40875,41330,40863,22772
161,DD,26433.0,38504.0,40987.0,94292,100330,25987,78787,,,,
162,DXC,5052.0,4973.0,4785.0,11402,13487,1888,2025,2937,3912,3135,2779
163,EMN,5704.0,6023.0,5958.0,5803,5403,4532,3941,3510,3796,2943,1870
164,ETN,16413.0,14930.0,16082.0,16107,17253,14954,15186,15786,16791,15113,7469
165,EBAY.O,9778.0,3561.0,2870.0,6281.0,8049.0,10539.0,6576.0,19906.0,23647.0,20865.0,17929.879
166,ECL,7224.2,6166.5,8685.3,8003.2,7583.6,6901.1,6909.9,7315.9,7344.3,6077.0,5666.7
167,EIX,15888.0,14048.0,13303.0,10459,13864,14187,13388,12982,11691,11191,11084
168,EW,5835.9,4574.3,4148.3,3140.4,2956.2,2619.0,2503.1,2191.4,1544.4,1479.3,1337.9
169,EA.O,7625.0,7840.0,7461.0,5331,4595,4060,3396,3036,2422,2267,2458
170,ELV,36060.0,33199.0,31728.0,28541.0,26502.9,25100.4,23044.1,24251.3,24765.2,23802.7,23288.2
171,LLY,8979.2,5641.6,2606.9,9828.7,11592.2,14007.7,14571.3,15373.2,17631.4,14765.2,13541.7
172,EMR,10364.0,9883.0,8405.0,8233,8947,8718,7568,8081,10119,10585,10295
