,Instrument,2021,2020,2019,2018,2017,2016
233,HLT,81.03249566,83.2395473,84.30333903,73.34670672,75.1618104,63.57153631
234,HOLX.O,75.75167618,77.8850615,73.87177053,51.3212858,50.9004305,43.26307142
235,HD,72.10534957,73.37266756,72.0149082,73.62910539,82.96649592,80.70454773
236,HON.O,,81.50783401,74.97847809,72.83885366,66.77836372,66.66258672
237,HRL,,68.81840889,69.83955358,68.70067367,69.15451693,64.99246048
238,HST.O,,81.63047821,87.05480259,86.48508129,79.93921609,80.98678959
239,HWM,65.27822658,58.77030243,51.90451058,51.76943357,56.03945289,74.25213612
240,HPQ,79.76004355,80.13653288,78.47647129,80.40990897,77.26344976,73.61932216
241,HUM,,88.41986414,86.84470206,85.86823301,85.77781774,84.18733571
242,HBAN.O,76.5784344,78.80425857,81.02938462,80.21220425,67.89728334,57.48007622
243,HII,43.04131255,40.8496262,35.64172246,38.08880779,45.51758669,36.05665494
244,IBM,74.7753418,72.38989947,74.42740483,84.93079822,76.92313667,76.02711407
245,IEX,,53.13830587,57.55508454,59.58465708,42.3072019,40.3216816
246,IDXX.O,73.97035495,62.70970001,56.30958197,53.25843019,55.65587512,38.17647822
247,ITW,65.45979212,67.57270975,52.65148846,45.41707477,46.59522898,45.15043695
248,ILMN.O,69.45612486,70.2400023,67.72666273,50.87326973,49.48756265,22.06106726
249,INCY.O,46.33264281,50.43389045,49.67514711,45.44182998,50.99047176,39.03577454
250,IR,41.54357435,44.22028822,41.37584843,26.18872621,18.33500553,
251,INTC.O,86.10960955,88.48452265,88.65703565,88.17572957,87.10713399,89.24995549
252,ICE,68.23638777,58.13663939,68.3922552,68.15278542,62.03803716,69.73051501
253,IP,72.12147718,70.62502208,66.36703928,68.31937784,68.85005921,66.56429599
254,IPG,,64.7684727,60.77951488,67.25968833,60.14379263,58.22911764
255,IFF,81.48837078,84.36748131,86.58995238,80.95129955,81.11586714,75.44589824
256,INTU.O,76.21668645,77.82610067,78.9432035,85.96690208,78.9396162,77.74771577
257,ISRG.O,57.0437056,56.61186034,50.63181124,47.41469974,42.60383153,43.61938961
258,IVZ,,60.86153441,66.35790184,69.86794219,66.97329378,56.61424275
259,INVH.K,43.99587919,45.53722806,32.92566415,24.44911568,16.89360907,
260,IQV,57.98454249,63.63381385,62.76943157,48.78363835,42.65675538,36.98287051
261,IRM,,77.58121681,76.60021826,76.06179577,74.94769029,73.63081332
262,JBHT.O,71.08483459,67.03202391,59.43698687,45.14249293,48.15806467,41.99839397
263,JKHY.O,51.28936262,26.75437466,34.37456667,29.98967359,25.2378687,25.20357262
264,J,84.04669966,84.96886196,69.04911501,66.31149405,63.29593538,60.74495614
265,JNJ,88.71314654,86.4260831,85.25096723,84.84156853,84.24133455,87.29230061
266,JCI,78.29169015,77.48516609,84.79678228,88.19648913,74.93884682,74.8004451
267,JPM,82.74521142,84.53648989,82.63410788,77.18581676,83.0686203,81.52125165
268,JNPR.K,,84.59212782,80.17956876,71.07862973,67.83758047,59.41584861
269,K,81.45511804,83.00732091,82.79704027,78.42536472,77.07813833,76.80489946
270,KDP.O,69.91149889,70.41983221,62.14613966,60.38584511,61.78253062,67.25915413
271,KEY,71.72641182,63.97349359,69.39505618,75.9724131,76.62043867,69.4185851
272,KEYS.K,77.98623603,73.88705712,74.90866562,71.68839395,74.1402705,73.64085262
273,KMB,77.25189221,76.07906201,73.51162309,69.92101211,69.63684696,68.0847524
274,KIM,,81.47170341,81.8551285,78.91061511,74.61078657,68.61795934
275,KMI,85.98862991,87.47189024,85.01847973,68.53661563,54.37963803,40.56577967
276,KLAC.O,58.06971739,55.22749136,56.97525418,51.25572909,55.41552029,58.34217614
277,KHC.O,,64.95487768,66.87631882,54.90885205,47.27764273,51.36506354
278,KR,80.06874842,77.83168507,76.22980932,84.25783785,68.73584855,69.59395735
279,LHX,,68.38311037,47.74206179,45.30383076,48.43583124,50.8906476
280,LH,66.48728471,67.55645681,70.62622579,74.34083068,62.94756535,55.05567386
281,LRCX.O,73.1077285,70.1188568,64.40549456,65.3706794,63.36950967,58.0625147
282,LW,5.861685898,66.4579966,62.93017397,36.76384324,36.19471669,
283,LVS,65.11051767,56.45959979,62.05413174,59.93606333,51.99829476,53.00623301
284,LDOS.K,,83.89942496,79.71324733,80.49131597,77.58765885,83.87538138
285,LEN,31.35616236,23.87373082,24.15431289,25.39608984,32.0084332,26.71680723
286,LNC,67.02014493,60.15633589,56.81021016,56.42775279,54.66463844,53.28814668
287,LIN,92.06516616,87.06263788,85.98057071,86.54616056,75.85662258,71.3326001
288,LYV,47.21515705,43.87841903,46.61101268,33.46580361,23.71923524,29.37546833
289,LKQ.O,42.51798421,28.22260945,24.67615773,20.9624553,14.67526515,19.65396866
290,LMT,,71.36474044,78.38256673,79.62801239,85.05560196,82.73956627
291,L,44.1617972,42.12371556,45.6626202,44.65314914,28.38680456,31.73048139
292,LOW,84.49768519,77.97517416,67.43925231,78.93979005,80.91294062,78.51657093
293,LUMN.K,,53.49895014,57.52331212,57.66797515,61.58430609,61.10739605
294,LYB,80.0493415,62.82003819,55.5528747,61.60273833,61.17304224,58.75771272
295,MTB,66.9071631,59.46929504,48.81782347,45.78584522,42.06336503,45.12374707
296,MRO,,75.83984261,66.94499699,63.86237522,66.29640077,67.01075234
297,MPC,79.34135061,69.67337601,67.98356078,62.47602645,60.18327128,61.95165385
298,MKTX.O,,55.04132572,50.61654517,48.81189987,53.45558792,54.69126186
299,MAR.O,,83.16891527,76.55864798,73.82527623,72.7382342,77.49086744
300,MMC,56.919561,57.01062594,51.59182591,49.99327054,41.31091637,39.51148441
301,MLM,45.98822523,43.0180928,42.50266304,41.09935057,37.0131713,37.63356925
