,Symbol,2021,2020,2019,2018,2017,2016
288,LYV,-5.66,-511.34,-0.43,-1.55,-8.46,-3.98
289,LKQ.O,13.725,14.58,15.029,15.38,15.25,16.99
290,LMT,74.409,151.15,275.6,,895.41,162.89
291,L,,,,,4.93,5.14
292,LOW,,389.85,158.9,72.299,60.08,50.11
293,LUMN.K,17.679,14.62,8.46,5.84,5.02,9.65
294,LYB,61.51,23.53,37.13,45.81,54.18,61.72
295,MTB,10.429,8.72,12.87,12.82,9.42,7.49
296,MRO,11.679,-8.09,5.03,5.04,-1.46,-3.84
297,MPC,6.459,-7.98,9.519,13.77,14.43,
298,MKTX.O,25.839,34.71,27.98,30.79,32.52,29.39
299,MAR.O,113.99,10.41,137.43,73.91,36.42,147.26
300,MMC,30.91,29.53,30.68,29.61,29.68,27.82
301,MLM,12.38,12.82,11.89,9.76,10.32,10.37
302,MAS,740.24,-4120.0,-373.99,,,-230.02
303,MA,121.62,105.23,140.63,125.04,88.21,70.93
304,MTCH.O,-90.65,-110.34,239.98,79.35,25.92,55.44
305,MKC,19.76,20.7,21.69,23.1,26.12,29.33
306,MCD,-112.29,-56.56,-73.04,-130.28,-197.36,201.45
307,MCK,-318.53,110.0,41.2,29.88,25.3,25.87
308,MDT,14.439,11.759,9.5,14.06,12.94,12.5
309,MRK,48.13,58.89,50.87,38.08,29.38,24.8
310,META.O,31.1,25.42,19.96,27.9,27.24,23.92
311,MET,11.199,8.19,10.28,10.05,7.0,7.52
312,MTD,351.379,182.62,112.51,92.12,94.41,78.78
313,MGM,-5.19,-14.51,5.71,6.62,9.44,9.0
314,MCHP.O,46.49,32.68,26.48,38.2,41.39,34.57
315,MU.O,20.19,16.82,8.64,21.46,57.74,36.79
316,MSFT.O,45.02,47.1,40.14,39.81,39.03,35.85
317,MAA,8.919,,,,4.02,4.36
318,MRNA.O,146.08,-39.99,-38.0,-78.61,,
319,MHK,12.109,7.57,9.32,12.72,14.69,17.68
320,MOH,33.56,31.559,41.2,17.05,-28.81,1.77
321,TAP,7.0,6.61,7.32,8.24,7.86,10.14
322,MDLZ.O,14.109,13.59,13.6,13.97,12.76,11.46
323,MPWR.O,32.27,27.22,25.14,28.71,26.76,24.09
324,MNST.O,23.489,27.14,28.699,27.17,22.2,19.12
325,MCO,102.969,161.77,246.03,478.37,-151.77,-105.09
326,MS,15.0,13.3,11.7,11.8,9.4,7.28
327,MOS,19.039,3.46,2.439,8.16,3.97,3.24
328,MSI,,-212.85,-140.29,-81.05,-68.22,-159.07
329,MSCI.K,-273.75,-254.42,,,101.89,48.01
330,NDAQ.O,19.85,17.08,15.06,14.32,12.16,11.25
331,NTAP.O,158.77,197.84,141.74,74.18,39.49,27.13
332,NFLX.O,38.02,29.62,29.12,27.46,17.85,7.61
333,NWL.O,19.54,17.2,14.15,13.1,10.52,18.5
334,NEM,10.539,9.63,6.08,6.8,7.31,5.61
335,NWSA.O,5.19,5.03,1.54,2.93,2.57,1.86
336,NWS.O,5.19,5.03,1.54,2.93,2.57,1.86
337,NEE,13.6,12.38,11.42,11.78,12.05,12.29
338,NKE,43.109,55.01,29.7,42.74,35.67,34.38
339,NI,9.0,8.65,9.109,10.08,9.47,8.91
340,NDSN.O,23.19,19.19,22.54,26.86,31.17,35.62
341,NSC,21.14,15.85,17.82,16.81,13.36,13.56
342,NTRS.O,12.58,10.69,13.43,16.2,10.91,11.41
343,NOC,35.079,40.86,42.41,48.89,37.9,40.81
344,NLOK.O,14.9,-353.47,20.039,19.46,26.38,21.28
345,NCLH.K,-86.92,-40.479,17.649,18.87,12.19,18.66
346,NRG,82.84,30.559,-59.1,-61.9,32.68,3.12
347,NUE,55.299,9.48,12.89,26.18,13.85,9.46
348,NVDA.O,51.759,77.83,33.23,49.28,44.04,32.57
349,NVR,40.509,33.11,42.34,46.7,41.25,33.44
350,NXPI.O,38.33,18.93,21.649,19.47,18.99,18.64
351,ORLY.O,,651.9,370.05,263.13,94.6,58.0
352,OXY,12.6,-36.58,4.259,18.32,3.26,-3.36
353,ODFL.O,29.53,20.99,21.37,24.44,17.7,16.73
354,OMC,57.07,36.78,49.59,50.68,49.94,49.5
355,ON.O,31.649,10.29,18.94,28.14,27.14,22.27
356,OKE,24.859,17.96,19.949,19.01,18.49,135.01
357,ORCL.K,,151.32,72.3,38.92,26.6,22.86
358,OGN,83.56,,,,,
359,OTIS.K,-34.65,-102.81,,,,
360,PCAR.O,16.949,12.91,26.1,26.38,20.26,19.75
361,PKG,26.079,17.41,25.26,31.09,28.87,
362,PARA.O,12.14,18.16,38.6,82.77,63.21,39.78
363,PH,28.3,27.12,23.2,26.42,25.38,22.34
364,PAYX.O,45.34,38.48,40.11,44.26,46.23,41.32
365,PAYC.K,33.619,34.43,47.5,66.62,13.32,48.03
366,PYPL.O,26.129,24.96,22.83,18.57,15.1,12.82
367,PNR,25.19,20.65,21.37,12.12,13.94,12.69
368,PEP.O,58.909,54.45,53.06,62.89,67.51,54.29
369,PKI,24.399,28.41,16.96,15.83,13.8,13.49
370,PFE,35.939,19.789,26.37,26.66,25.69,23.76
371,PCG,10.189,15.46,23.32,12.88,10.04,10.92
372,PM,,-66.72,-67.15,-64.58,-59.18,-53.73
373,PSX,12.39,-15.25,14.109,22.32,9.56,6.59
374,PNW,10.72,9.95,10.11,9.99,9.82,9.42
375,PXD,18.969,2.859,11.359,9.25,3.4,-0.36
376,PNC,10.78,11.76,11.5,11.83,8.85,8.85
377,POOL.O,,,,,,
378,PPG,27.039,24.66,29.859,28.45,29.14,31.56
379,PPL,5.95,14.01,14.65,15.21,15.03,16.89
380,PFG.O,11.289,,12.029,13.18,12.78,13.18
381,PG,31.53,31.62,28.85,24.01,20.85,18.87
382,PGR,11.58,28.48,25.01,29.143,16.93,13.04
383,PLD,8.97,5.39,6.98,8.67,10.72,8.11
384,PRU,8.789,6.3,12.1,9.78,9.31,9.36
385,PEG,12.179,11.21,11.31,11.21,11.03,11.26
386,PTC.O,24.32,27.05,22.61,19.94,19.45,15.92
387,PSA,19.359,12.47,13.98,14.81,12.77,12.74
388,PHM,27.19,23.39,19.33,24.48,14.26,14.57
389,QRVO.O,30.0,25.32,17.4,16.07,13.88,12.18
390,PWR,15.109,13.21,12.849,11.7,8.67,7.42
391,QCOM.O,101.95,122.43,87.68,148.12,34.37,20.43
392,DGX,27.679,24.63,16.51,15.74,15.5,14.65
393,RL,24.25,4.79,16.929,17.42,14.73,13.54
394,RJF,17.0,19.429,12.5,16.2,16.0,14.5
395,RTX,8.88,6.51,17.79,18.12,18.59,19.88
396,O,2.0,3.81,4.89,4.7,4.27,4.34
397,REG.O,6.009,0.74,3.8,3.81,3.24,6.19
398,REGN.O,55.45,33.16,28.49,35.18,35.89,32.56
399,RF,13.169,6.24,9.66,11.64,7.9,6.88
400,RSG,15.24,13.71,13.4,12.77,10.51,9.87
401,RMD,27.239,29.0,30.32,25.48,25.27,21.96
402,RHI,46.289,26.08,41.18,40.49,29.59,32.85
403,ROK,43.43,64.719,125.25,102.409,48.15,37.76
404,ROL,34.659,,,,30.5,30.64
405,ROP,13.7,13.48,15.91,16.89,15.41,12.14
406,ROST.O,46.869,9.5,49.84,49.16,44.26,42.82
407,RCL,-69.81,-37.51,17.21,17.18,15.38,15.3
408,SPGI.K,247.27,511.29,385.57,308.53,262.16,336.49
409,CRM,9.35,12.15,10.279,17.07,11.74,11.28
410,SBAC.O,-4.7,-0.57,-1.91,-1.59,-4.51,-4.12
411,SLB,13.39,5.34,6.81,6.19,5.35,4.04
412,STX.O,495.41,114.23,66.4,71.86,106.24,83.32
413,SEE,256.79,,,-408.46,89.92,92.61
414,SRE,10.679,10.84,10.3,10.08,10.67,10.23
415,NOW,33.227,37.3,39.9,49.78,44.21,25.57
416,SHW,71.9,58.44,50.26,47.42,51.299,86.22
417,SBNY.O,12.89,10.75,12.83,11.98,10.08,12.19
418,SPG,70.189,39.86,72.07,69.79,48.9,44.94
419,SWKS.O,34.08,37.06,25.13,26.199,32.42,31.68
420,SJM,11.83,12.56,12.36,11.89,12.43,12.93
421,SNA,20.5,18.69,21.05,22.28,21.29,21.73
