,Symbol,2021,2020,2019,2018,2017,2016
314,MCHP.O,21.348,14.88,12.35,14.9,37.14,20.75
315,MU.O,19.98,,8.76,22.5,49.17,24.73
316,MSFT.O,54.65,86.08,98.0,88.72,114.53,97.87
317,MAA,,,,,,
318,MRNA.O,389,,,,,
319,MHK,,6.84,7.105,11.242,14.49,16.07
320,MOH,,102.0,108.78,,,
321,TAP,6.27,5.87,5.53,5.93,7.03,
322,MDLZ.O,,7.85,7.61,8.05,9.72,8.06
323,MPWR.O,,62.154,61.27,61.19,30.7,32.21
324,MNST.O,51.492,41.09,38.94,38.07,45.82,28.7
325,MCO,,39.62,39.63,44.893,44.62,
326,MS,,,,,,
327,MOS,15.22,4.83,3.32,6.16,3.99,3.17
328,MSI,,54.29,45.6,62.187,73.75,59.11
329,MSCI.K,37.91,50.22,35.799,40.02,39.238,24.66
330,NDAQ.O,12.3,12.21,10.89,10.6,11.814,8.57
331,NTAP.O,,-76.466,,-136.52,-65.52,-118.52
332,NFLX.O,22.59,21.64,13.91,13.47,11.55,8.81
333,NWL.O,12.05,9.52,9.25,5.95,7.49,9.08
334,NEM,,8.97,4.2,6.75,6.94,
335,NWSA.O,9.14,4.75,4.64,4.1,5.44,4.77
336,NWS.O,9.14,4.75,4.64,4.1,5.44,4.77
337,NEE,2.17,6.28,6.48,4.13,14.46,11.37
338,NKE,51.82,48.84,31.0,50.92,24.51,40.91
339,NI,5.48,5.47,6.03,5.55,7.25,7.48
340,NDSN.O,18.37,13.78,14.723,18.905,13.23,22.51
341,NSC,13.41,10.8,11.76,12.07,9.33,14.19
342,NTRS.O,,,,,,
343,NOC,,16.38,8.03,17.969,32.45,32.66
344,NLOK.O,72.71,46.42,,14.67,20.78,11.96
345,NCLH.K,-18.46,-15.5,10.342,10.97,9.879,9.56
346,NRG,23.58,38.7,27.5,21.25,7.29,5.43
347,NUE,,,11.14,25.86,16.088,12.59
348,NVDA.O,77.614,52.03,104.76,103.92,,
349,NVR,57.41,,44.52,52.83,56.72,45.39
350,NXPI.O,22.95,14.7,11.0,16.81,15.69,14.02
351,ORLY.O,67.67,50.17,35.82,38.66,32.53,50.405
352,OXY,7.7,-1.58,6.03,16.33,4.85,-3.09
353,ODFL.O,33.84,25.17,22.4,32.228,14.25,15.52
354,OMC,17.51,31.114,48.82,29.03,34.34,29.3
355,ON.O,21.05,8.99,11.848,18.95,16.827,10.8
356,OKE,10.82,9.199,12.09,5.93,7.27,10.19
357,ORCL.K,35.15,37.44,35.18,35.39,44.39,27.68
358,OGN,,,,,,
359,OTIS.K,84.34,9.88,,,,
360,PCAR.O,21.699,17.65,11.61,16.91,42.442,13.45
361,PKG,,11.0,15.599,17.82,20.821,
362,PARA.O,10.02,14.44,,24.125,17.96,25.36
363,PH,15.16,6.19,16.65,19.1,20.72,15.78
364,PAYX.O,52.78,42.495,42.87,38.599,56.94,75.96
365,PAYC.K,40.27,37.83,47.78,64.97,93.991,93.41
366,PYPL.O,41.399,28.27,30.58,33.0,24.383,14.81
367,PNR,18.16,15.55,14.83,17.47,14.1,10.07
368,PEP.O,,17.71,20.69,27.999,27.209,25.27
369,PKI,12.38,22.6,11.0,12.22,9.93,10.84
370,PFE,23.8,17.6,15.61,24.27,20.458,22.13
371,PCG,,3.89,,8.38,6.61,8.21
372,PM,,63.49,64.91,78.859,73.445,57.78
373,PSX,,2.56,9.9,19.12,8.28,10.85
374,PNW,,5.42,6.09,6.07,5.96,9.25
375,PXD,18.54,2.0,10.87,16.67,,1.89
376,PNC,,,,,,
377,POOL.O,,,,,,
378,PPG,,15.42,15.099,17.86,24.51,28.72
379,PPL,5.299,6.8,7.2,8.668,9.724,8.33
380,PFG.O,,,,,,
381,PG,25.01,,20.351,15.862,17.71,13.41
382,PGR,,,,,,
383,PLD,4.4,2.42,2.49,2.32,5.5,
384,PRU,,,,,,
385,PEG,,,7.12,6.57,9.04,9.996
386,PTC.O,17.57,,16.89,,17.95,14.87
387,PSA,10.44,12.64,13.86,13.85,14.29,14.25
388,PHM,,22.37,15.331,22.31,22.384,13.48
